Country,crawl_date,duration_type,generation_date,rank,book_url,book_title,book_cover_url,published_year,number_of_reads,average_rating,number_of_ratings,author_url
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),1,/book/show/38746485-becoming,Becoming,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528206996i/38746485._SY75_.jpg,2018,10,4.58,333941,https://www.goodreads.com/author/show/2338628.Michelle_Obama
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),2,/book/show/6642715-the-forty-rules-of-love,The Forty Rules of Love,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442161289i/6642715._SY75_.jpg,2009,9,4.16,108593,https://www.goodreads.com/author/show/6542440.Elif_Shafak
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),3,/book/show/38820046-21-lessons-for-the-21st-century,21 Lessons for the 21st Century,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564577305i/38820046._SY75_.jpg,2018,9,4.19,50164,https://www.goodreads.com/author/show/395812.Yuval_Noah_Harari
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),4,/book/show/9969571-ready-player-one,Ready Player One (Ready Player One #1),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1500930947i/9969571._SY75_.jpg,2011,8,4.27,766023,https://www.goodreads.com/author/show/31712.Ernest_Cline
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),5,/book/show/4865.How_to_Win_Friends_and_Influence_People,How to Win Friends and Influence People,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442726934i/4865._SY75_.jpg,1936,8,4.19,490845,https://www.goodreads.com/author/show/3317.Dale_Carnegie
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),6,/book/show/35623545-directorate-s,Directorate S: The C.I.A. and America's Secret Wars in Afghanistan and Pakistan,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499534381i/35623545._SY75_.jpg,2018,8,4.23,1829,https://www.goodreads.com/author/show/40651.Steve_Coll
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),7,/book/show/36072.The_7_Habits_of_Highly_Effective_People,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421842784i/36072._SY75_.jpg,1989,7,4.10,447687,https://www.goodreads.com/author/show/1538.Stephen_R_Covey
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),8,/book/show/18144590-the-alchemist,The Alchemist,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466865542i/18144590._SY75_.jpg,1988,6,3.86,1854318,https://www.goodreads.com/author/show/566.Paulo_Coelho
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),9,/book/show/40961427-1984,1984,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532714506i/40961427._SX50_.jpg,1949,6,4.18,2753233,https://www.goodreads.com/author/show/3706.George_Orwell
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),10,/book/show/157993.The_Little_Prince,The Little Prince,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993._SY75_.jpg,1943,5,4.30,1172530,https://www.goodreads.com/author/show/1020792.Antoine_de_Saint_Exup_ry
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),11,/book/show/485894.The_Metamorphosis,The Metamorphosis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359061917i/485894._SY75_.jpg,1915,5,3.81,556016,https://www.goodreads.com/author/show/5223.Franz_Kafka
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),12,/book/show/28257707-the-subtle-art-of-not-giving-a-f-ck,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465761302i/28257707._SX50_.jpg,2016,5,3.97,366352,https://www.goodreads.com/author/show/8529755.Mark_Manson
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),13,/book/show/513104._,لطفاً گوسفند نباشید,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1249524808i/513104._SX50_.jpg,2005,5,3.16,647,https://www.goodreads.com/author/show/237229._
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),14,/book/show/71984.Ghost_Wars,Ghost Wars: The Secret History of the CIA Afghanistan and bin Laden from the Soviet Invasion to September 10 2001,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924074i/71984._SY75_.jpg,2004,5,4.30,12028,https://www.goodreads.com/author/show/40651.Steve_Coll
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),15,/book/show/13079982-fahrenheit-451,Fahrenheit 451,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982._SY75_.jpg,1953,4,3.98,1496840,https://www.goodreads.com/author/show/1630.Ray_Bradbury
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),16,/book/show/34346848-the-last-girl,The Last Girl: My Story of Captivity and My Fight Against the Islamic State,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491153124i/34346848._SY75_.jpg,2017,4,4.51,8988,https://www.goodreads.com/author/show/16473543.Nadia_Murad
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),17,/book/show/2657.To_Kill_a_Mockingbird,To Kill a Mockingbird (To Kill a Mockingbird #1),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657._SY75_.jpg,1960,4,4.27,4106625,https://www.goodreads.com/author/show/1825.Harper_Lee
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),18,/book/show/30625581-havva-n-n-k-z,Havva'nın Üç Kızı,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465982664i/30625581._SX50_.jpg,2016,4,3.78,12516,https://www.goodreads.com/author/show/6542440.Elif_Shafak
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),19,/book/show/7718203-afghanistan,Afghanistan: A Cultural and Political History,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388936554i/7718203._SY75_.jpg,2010,4,4.01,715,https://www.goodreads.com/author/show/41729.Thomas_Barfield
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),20,/book/show/18050143-zero-to-one,Zero to One: Notes on Startups or How to Build the Future,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414347376i/18050143._SX50_.jpg,2014,4,4.17,136163,https://www.goodreads.com/author/show/8474721.Peter_Thiel
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),21,/book/show/1885.Pride_and_Prejudice,Pride and Prejudice,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885._SY75_.jpg,1813,4,4.26,2692747,https://www.goodreads.com/author/show/1265.Jane_Austen
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),22,/book/show/31138556-homo-deus,Homo Deus: A History of Tomorrow,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468760805i/31138556._SY75_.jpg,2015,4,4.27,102268,https://www.goodreads.com/author/show/395812.Yuval_Noah_Harari
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),23,/book/show/11468377-thinking-fast-and-slow,Thinking Fast and Slow,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317793965i/11468377._SX50_.jpg,2011,3,4.14,244496,https://www.goodreads.com/author/show/72401.Daniel_Kahneman
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),24,/book/show/2165.The_Old_Man_and_the_Sea,The Old Man and the Sea,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329189714i/2165._SY75_.jpg,1952,3,3.76,742899,https://www.goodreads.com/author/show/1455.Ernest_Hemingway
Afghanistan,December 24 2019,y,(Dec 22 2019 11:30AM),25,/book/show/26074156-hunger,Hunger: A Memoir of (My) Body,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1448064366i/26074156._SY75_.jpg,2017,3,4.19,61712,https://www.goodreads.com/author/show/3360355.Roxane_Gay
